Change Component Footprint: Designator=C34 Old Footprint=C0603 New Footprint=C1206-S
Change Component Footprint: Designator=C26 Old Footprint=C0805-S New Footprint=C0603-S
Change Component Footprint: Designator=C28 Old Footprint=C0805-S New Footprint=C0603-S
Change Component Footprint: Designator=C29 Old Footprint=C0805-S New Footprint=C0603-S
Change Component Footprint: Designator=C30 Old Footprint=C0805-S New Footprint=C0603-S
Change Component Footprint: Designator=C31 Old Footprint=C0805-S New Footprint=C0603-S
Change Component Footprint: Designator=C32 Old Footprint=C0805-S New Footprint=C0603-S
Change Component Footprint: Designator=C33 Old Footprint=C0805-S New Footprint=C0603-S
Change Component Footprint: Designator=C35 Old Footprint=C0805-S New Footprint=C0603-S
Change Component Footprint: Designator=C38 Old Footprint=C0805-S New Footprint=C0603-S
Change Component Footprint: Designator=C39 Old Footprint=C0805-S New Footprint=C0603-S
Change Component Footprint: Designator=C150 Old Footprint=C0805-S New Footprint=C0603-S
